price,metro_stations_list,metro_station,walk_time,rooms,floor,floors_total,square_total,square_kitchen,ceiling_height,wall_material,renovation,year_built,owners_count,infrastructure,yard_improvement,publication_date,edit_date,ad_id,url,square_living
230000000,"Смоленская: 9 мин, Арбатская: 10 мин, Кропоткинская: 13 мин, Александровский сад: 16 мин, Библиотека им. Ленина: 16 мин, Боровицкая: 19 мин",Смоленская,9 мин,4.0,4.0,7.0,150.0,60.0,3.0,Кирпичный,Есть ремонт,,,"Школы, Магазины",Парковка,,,322345293,https://www.cian.ru/sale/flat/322345293/,
11400000,"Юго-Восточная: 6 мин, Выхино: 13 мин, Выхино: 14 мин",Юго-Восточная,6 мин,2.0,11.0,14.0,40.09,5.9,2.5,Панельный,,,,Школы,Парковка,,,322596373,https://www.cian.ru/sale/flat/322596373/,23.9
161772200,"Аэропорт: 10 мин, Сокол: 10 мин, Панфиловская: 20 мин",Аэропорт,10 мин,3.0,6.0,57.0,160.0,20.0,3.2,Монолитно-кирпичный,,,,"Школы, Магазины","Парковка, Видеонаблюдение",,,303470941,https://www.cian.ru/sale/flat/303470941/,80.0
25000000,"Волоколамская: 20 мин, Трикотажная: 5 мин, Мякинино: 23 мин",Трикотажная,5 мин,2.0,19.0,25.0,40.0,10.0,3.0,,Есть ремонт,,,,Парковка,,,322722613,https://www.cian.ru/sale/flat/322722613/,
7800000,"Аэропорт Внуково: 11 мин, Толстопальцево: 4 мин, Кокошкино: 6 мин",Толстопальцево,4 мин,,5.0,19.0,26.17,5.0,,Панельный,,2017.0,,,Парковка,,,320068864,https://www.cian.ru/sale/flat/320068864/,16.2
15999000,"Шипиловская: 21 мин, Домодедовская: 22 мин, Борисово: 24 мин",Шипиловская,21 мин,3.0,8.0,9.0,58.7,6.0,2.64,Панельный,Есть ремонт,,,"Школы, Магазины",Парковка,,,318370077,https://www.cian.ru/sale/flat/318370077/,43.2
23800000,"Бульвар Генерала Карбышева: 13 мин, Серебряный Бор: 19 мин, Народное Ополчение: 23 мин, Мнёвники: 4 мин, Хорошёвская: 5 мин",Мнёвники,4 мин,1.0,3.0,20.0,45.7,14.0,,,,,,Магазины,Парковка,,,322241697,https://www.cian.ru/sale/flat/322241697/,25.0
110000000,"Курская: 12 мин, Чистые пруды: 10 мин, Тургеневская: 12 мин, Сретенский бульвар: 13 мин, Китай-город: 14 мин, Красные ворота: 14 мин, Чкаловская: 16 мин, Курская: 16 мин, Лубянка: 18 мин",Чистые пруды,10 мин,4.0,7.0,8.0,130.0,38.0,4.2,,,,1.0,Школы,Парковка,,,323158516,https://www.cian.ru/sale/flat/323158516/,
10500000,"Медведково: 5 мин, Бабушкинская: 21 мин, Свиблово: 7 мин",Медведково,5 мин,1.0,1.0,12.0,32.5,9.6,2.64,,Есть ремонт,,,"Школы, Магазины",Парковка,,,323438331,https://www.cian.ru/sale/flat/323438331/,17.3
13200000,"Пыхтино: 10 мин, Рассказовка: 5 мин, Аэропорт Внуково: 7 мин",Рассказовка,5 мин,2.0,16.0,17.0,54.7,8.5,,Панельный,Есть ремонт,2013.0,,"Школы, Магазины, Торговые центры","Парковка, Видеонаблюдение",,,322947918,https://www.cian.ru/sale/flat/322947918/,30.0
4500000,"Беломорская: 4 мин, Речной вокзал: 13 мин, Ховрино: 4 мин",Беломорская,4 мин,,10.0,12.0,38.2,6.4,2.64,Блочный,,,,,Парковка,,,317509745,https://www.cian.ru/sale/flat/317509745/,23.8
21700000,"Беговая: 14 мин, Динамо: 15 мин, Петровский Парк: 20 мин",Беговая,14 мин,3.0,4.0,6.0,63.0,8.6,3.2,Кирпичный,Есть ремонт,,,"Школы, Магазины",Парковка,,,317294476,https://www.cian.ru/sale/flat/317294476/,41.6
16250000,"Прокшино: 22 мин, Коммунарка: 5 мин, Ольховая: 5 мин",Коммунарка,5 мин,2.0,5.0,5.0,58.7,15.0,,Панельный,Есть ремонт,2014.0,,Торговые центры,Парковка,,,323147934,https://www.cian.ru/sale/flat/323147934/,
,,,,,,,,,,,,,,,,,,299928195,https://www.cian.ru/sale/flat/299928195/,
21700000,"Коптево: 10 мин, Водный стадион: 25 мин, Лихоборы: 7 мин",Лихоборы,7 мин,,8.0,10.0,64.4,14.3,2.97,,,,,"Школы, Торговые центры",,,,317546895,https://www.cian.ru/sale/flat/317546895/,30.5
21500000,"Волоколамская: 14 мин, Трикотажная: 19 мин, Митино: 22 мин",Волоколамская,14 мин,3.0,8.0,16.0,77.0,11.0,2.7,Панельный,,,,"Школы, Магазины, Торговые центры",Парковка,,,312968255,https://www.cian.ru/sale/flat/312968255/,45.0
